Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year
1,0,2,200000,Khyber,200000,1,1,1992
1,0,1,333333,Khyber,235000,1,1,1989
1,0,2,89300,Alto,534999,1,1,2010
1,0,1,71000,Alto,520000,1,1,2008
1,0,2,125000,Cultus VXR,400000,1,1,2000
4,0,1,22000,Mira,1170000,1,1,2014
1,0,1,78000,Cultus VXR,770000,1,1,2012
1,0,2,100000,Khyber,240000,1,1,1995
1,0,1,750000,Every,820000,1,1,2010
1,1,2,97500,Khyber,360000,1,1,1997
1,0,1,30000,Cultus VXR,575000,2,1,2007
3,0,2,120000,City IDSI,530000,1,1,2002
5,1,2,198000,Pride,250000,1,1,1996
1,0,2,1000,Margalla,285000,1,1,1997
2,0,1,84000,Corolla GLI,1125000,1,1,2011
1,0,1,20000,Wagon R,1260000,1,1,2017
2,1,4,30500,Aqua,1865000,1,1,2014
3,0,1,44000,City IVTEC,1425000,1,1,2013
2,0,1,225000,Premio,1225000,1,1,2003
1,0,1,10000,Every,880000,1,1,2011
1,0,2,10000,Mehran VXR,210000,1,1,2005
12,1,1,32999,Smart,1865000,1,1,2015
2,1,1,11000,Corolla XLI,1830000,1,1,2017
2,0,1,86000,Corolla XLI,1150000,1,1,2010
1,1,2,70000,Cultus VXR,680000,1,1,2010
10,0,1,90026,March,680000,1,1,2006
4,0,1,43500,Mira,1100000,1,1,2014
1,1,2,5000,Bolan,520000,1,1,2007
2,0,2,80000,Corolla GLI,1490000,1,1,2012
3,0,2,146000,Civic VTi,850000,1,1,2005
3,0,1,170000,Civic Prosmetic,685000,1,1,2002
2,0,1,53001,Corolla XLI,1575000,1,1,2014
1,0,1,42500,Wagon R,1025000,1,1,2016
9,0,1,78000,Demio,812000,1,1,2007
1,0,4,111111,Mehran VX,199000,1,1,2003
5,0,2,100000,Sportage,845000,1,1,2005
3,0,2,386700,City IDSI,380000,1,1,1998
2,1,1,81000,Corolla XLI,1185000,1,1,2009
1,1,2,75000,Bolan,490000,1,1,2008
1,0,2,88000,Alto,500000,1,1,2009
1,0,2,100000,Mehran VXR,290000,1,1,2007
2,0,1,125000,Corona,240000,1,1,1973
2,0,1,21000,Passo,1560000,1,1,2015
4,0,2,100000,Charade,255000,1,1,1987
2,1,1,65000,Vitz,1400000,1,1,2012
1,0,2,60000,Cultus VXR,665000,1,1,2011
2,0,1,78500,Vitz,1100000,1,1,2009
6,0,2,170000,Lancer,400000,1,1,1997
1,0,1,31258,Mehran VXR,580000,1,1,2014
1,0,2,185252,Alto,380000,1,1,2006
2,0,4,86000,Aqua,1800000,1,1,2014
2,0,2,152400,Corolla GLI,600000,1,1,1998
3,0,1,70000,City IVTEC,1396000,1,1,2013
3,0,1,83000,Civic VTi Oriel Prosmatec,1090000,1,1,2011
1,0,1,100000,Cultus VXR,650000,1,1,2009
3,0,1,123456,Civic Prosmetic,840000,1,1,2005
1,0,1,28000,Alto,1215000,1,1,2014
3,0,1,73000,Accord,985000,1,1,2003
1,1,1,98525,Every Wagon,1320000,1,1,2012
